location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,76.59574468085106
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,0
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,0
AK,2020-03-17,142.5531914893617
AK,2020-03-18,0
AK,2020-03-19,206.38297872340425
AK,2020-03-20,0
AK,2020-03-21,0
AK,2020-03-22,0
AK,2020-03-23,102.12765957446808
AK,2020-03-24,70.2127659574468
AK,2020-03-25,0
AK,2020-03-26,65.95744680851064
AK,2020-03-27,0
AK,2020-03-28,212.7659574468085
AL,2020-02-01,6.127659574468085
AL,2020-02-02,12.25531914893617
AL,2020-02-03,4.595744680851064
AL,2020-02-04,0
AL,2020-02-05,0
AL,2020-02-06,0
AL,2020-02-07,0
AL,2020-02-08,0
AL,2020-02-09,0
AL,2020-02-10,4.595744680851064
AL,2020-02-11,0
AL,2020-02-12,4.595744680851064
AL,2020-02-13,0
AL,2020-02-14,0
AL,2020-02-15,0
AL,2020-02-16,0
AL,2020-02-17,0
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,0
AL,2020-02-21,0
AL,2020-02-22,0
AL,2020-02-23,0
AL,2020-02-24,6.127659574468085
AL,2020-02-25,6.127659574468085
AL,2020-02-26,6.127659574468085
AL,2020-02-27,0
AL,2020-02-28,0
AL,2020-02-29,7.659574468085106
AL,2020-03-01,0
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,6.127659574468085
AL,2020-03-05,0
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,0
AL,2020-03-09,0
AL,2020-03-10,0
AL,2020-03-11,0
AL,2020-03-12,13.787234042553191
AL,2020-03-13,6.127659574468085
AL,2020-03-14,0
AL,2020-03-15,15.319148936170212
AL,2020-03-16,13.787234042553191
AL,2020-03-17,24.51063829787234
AL,2020-03-18,35.234042553191486
AL,2020-03-19,30.638297872340424
AL,2020-03-20,56.680851063829785
AL,2020-03-21,38.297872340425535
AL,2020-03-22,53.61702127659574
AL,2020-03-23,88.85106382978724
AL,2020-03-24,53.61702127659574
AL,2020-03-25,27.574468085106382
AL,2020-03-26,110.29787234042553
AL,2020-03-27,98.04255319148936
AL,2020-03-28,84.25531914893617
AR,2020-02-01,14.042553191489361
AR,2020-02-02,0
AR,2020-02-03,0
AR,2020-02-04,0
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,0
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,11.23404255319149
AR,2020-02-14,11.23404255319149
AR,2020-02-15,0
AR,2020-02-16,14.042553191489361
AR,2020-02-17,0
AR,2020-02-18,0
AR,2020-02-19,0
AR,2020-02-20,0
AR,2020-02-21,11.23404255319149
AR,2020-02-22,0
AR,2020-02-23,12.638297872340425
AR,2020-02-24,0
AR,2020-02-25,0
AR,2020-02-26,9.829787234042554
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,11.23404255319149
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,0
AR,2020-03-09,0
AR,2020-03-10,21.06382978723404
AR,2020-03-11,0
AR,2020-03-12,0
AR,2020-03-13,0
AR,2020-03-14,0
AR,2020-03-15,0
AR,2020-03-16,0
AR,2020-03-17,15.446808510638299
AR,2020-03-18,51.95744680851064
AR,2020-03-19,92.68085106382979
AR,2020-03-20,85.65957446808511
AR,2020-03-21,43.53191489361702
AR,2020-03-22,23.872340425531917
AR,2020-03-23,88.46808510638299
AR,2020-03-24,73.02127659574468
AR,2020-03-25,44.93617021276596
AR,2020-03-26,81.4468085106383
AR,2020-03-27,66
AR,2020-03-28,81.4468085106383
AZ,2020-02-01,0
AZ,2020-02-02,0
AZ,2020-02-03,0
AZ,2020-02-04,0
AZ,2020-02-05,0
AZ,2020-02-06,0
AZ,2020-02-07,2.872340425531915
AZ,2020-02-08,0
AZ,2020-02-09,0
AZ,2020-02-10,2.872340425531915
AZ,2020-02-11,2.872340425531915
AZ,2020-02-12,3.8297872340425534
AZ,2020-02-13,0
AZ,2020-02-14,0
AZ,2020-02-15,0
AZ,2020-02-16,0
AZ,2020-02-17,0
AZ,2020-02-18,2.872340425531915
AZ,2020-02-19,0
AZ,2020-02-20,0
AZ,2020-02-21,0
AZ,2020-02-22,0
AZ,2020-02-23,0
AZ,2020-02-24,4.787234042553192
AZ,2020-02-25,4.787234042553192
AZ,2020-02-26,2.872340425531915
AZ,2020-02-27,2.872340425531915
AZ,2020-02-28,2.872340425531915
AZ,2020-02-29,0
AZ,2020-03-01,0
AZ,2020-03-02,0
AZ,2020-03-03,2.872340425531915
AZ,2020-03-04,3.8297872340425534
AZ,2020-03-05,2.872340425531915
AZ,2020-03-06,0
AZ,2020-03-07,0
AZ,2020-03-08,0
AZ,2020-03-09,0
AZ,2020-03-10,2.872340425531915
AZ,2020-03-11,7.659574468085107
AZ,2020-03-12,0
AZ,2020-03-13,2.872340425531915
AZ,2020-03-14,2.872340425531915
AZ,2020-03-15,2.872340425531915
AZ,2020-03-16,2.872340425531915
AZ,2020-03-17,12.446808510638299
AZ,2020-03-18,22.97872340425532
AZ,2020-03-19,18.19148936170213
