location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,0
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,93.33333333333334
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,77.77777777777779
AK,2020-03-17,75.55555555555556
AK,2020-03-18,0
AK,2020-03-19,148.88888888888889
AK,2020-03-20,75.55555555555556
AK,2020-03-21,0
AK,2020-03-22,0
AK,2020-03-23,71.11111111111111
AK,2020-03-24,73.33333333333334
AK,2020-03-25,0
AK,2020-03-26,71.11111111111111
AK,2020-03-27,68.88888888888889
AK,2020-03-28,222.22222222222223
AK,2020-03-29,75.55555555555556
AK,2020-03-30,102.22222222222223
AK,2020-03-31,204.44444444444446
AL,2020-02-01,6.4
AL,2020-02-02,0
AL,2020-02-03,4.800000000000001
AL,2020-02-04,0
AL,2020-02-05,0
AL,2020-02-06,4.800000000000001
AL,2020-02-07,0
AL,2020-02-08,0
AL,2020-02-09,0
AL,2020-02-10,0
AL,2020-02-11,0
AL,2020-02-12,0
AL,2020-02-13,6.4
AL,2020-02-14,0
AL,2020-02-15,0
AL,2020-02-16,0
AL,2020-02-17,0
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,6.4
AL,2020-02-21,8
AL,2020-02-22,8
AL,2020-02-23,0
AL,2020-02-24,0
AL,2020-02-25,6.4
AL,2020-02-26,0
AL,2020-02-27,6.4
AL,2020-02-28,0
AL,2020-02-29,0
AL,2020-03-01,8
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,6.4
AL,2020-03-05,0
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,8
AL,2020-03-09,0
AL,2020-03-10,6.4
AL,2020-03-11,0
AL,2020-03-12,0
AL,2020-03-13,6.4
AL,2020-03-14,8
AL,2020-03-15,0
AL,2020-03-16,8
AL,2020-03-17,36.800000000000004
AL,2020-03-18,33.6
AL,2020-03-19,48
AL,2020-03-20,49.6
AL,2020-03-21,43.2
AL,2020-03-22,24
AL,2020-03-23,96
AL,2020-03-24,52.800000000000004
AL,2020-03-25,72
AL,2020-03-26,108.80000000000001
AL,2020-03-27,115.2
AL,2020-03-28,72
AL,2020-03-29,70.4
AL,2020-03-30,105.60000000000001
AL,2020-03-31,94.4
AR,2020-02-01,0
AR,2020-02-02,0
AR,2020-02-03,12.288888888888888
AR,2020-02-04,0
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,0
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,0
AR,2020-02-14,0
AR,2020-02-15,0
AR,2020-02-16,0
AR,2020-02-17,0
AR,2020-02-18,0
AR,2020-02-19,0
AR,2020-02-20,14.044444444444444
AR,2020-02-21,0
AR,2020-02-22,0
AR,2020-02-23,0
AR,2020-02-24,0
AR,2020-02-25,0
AR,2020-02-26,0
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,14.044444444444444
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,0
AR,2020-03-09,0
AR,2020-03-10,0
AR,2020-03-11,0
AR,2020-03-12,0
AR,2020-03-13,0
AR,2020-03-14,0
AR,2020-03-15,0
AR,2020-03-16,19.31111111111111
AR,2020-03-17,40.37777777777778
AR,2020-03-18,47.4
AR,2020-03-19,103.57777777777778
AR,2020-03-20,101.82222222222222
AR,2020-03-21,63.2
AR,2020-03-22,15.8
AR,2020-03-23,133.42222222222222
AR,2020-03-24,77.24444444444444
AR,2020-03-25,64.95555555555555
AR,2020-03-26,138.6888888888889
AR,2020-03-27,91.28888888888889
AR,2020-03-28,45.644444444444446
AR,2020-03-29,70.22222222222223
AR,2020-03-30,94.8
AR,2020-03-31,107.08888888888889
AZ,2020-02-01,0
AZ,2020-02-02,0
AZ,2020-02-03,5.777777777777777
AZ,2020-02-04,3.4666666666666663
AZ,2020-02-05,0
AZ,2020-02-06,3.4666666666666663
AZ,2020-02-07,3.4666666666666663
AZ,2020-02-08,3.4666666666666663
AZ,2020-02-09,0
AZ,2020-02-10,0
AZ,2020-02-11,0
AZ,2020-02-12,3.4666666666666663
AZ,2020-02-13,0
AZ,2020-02-14,3.4666666666666663
AZ,2020-02-15,3.4666666666666663
AZ,2020-02-16,3.4666666666666663
AZ,2020-02-17,3.4666666666666663
AZ,2020-02-18,3.4666666666666663
AZ,2020-02-19,0
AZ,2020-02-20,3.4666666666666663
AZ,2020-02-21,0
AZ,2020-02-22,3.4666666666666663
AZ,2020-02-23,0
AZ,2020-02-24,0
AZ,2020-02-25,3.4666666666666663
AZ,2020-02-26,3.4666666666666663
AZ,2020-02-27,3.4666666666666663
AZ,2020-02-28,3.4666666666666663
AZ,2020-02-29,0
AZ,2020-03-01,0
AZ,2020-03-02,0
AZ,2020-03-03,3.4666666666666663
AZ,2020-03-04,0
AZ,2020-03-05,3.4666666666666663
AZ,2020-03-06,5.777777777777777
AZ,2020-03-07,0
AZ,2020-03-08,3.4666666666666663
AZ,2020-03-09,3.4666666666666663
AZ,2020-03-10,3.4666666666666663
AZ,2020-03-11,5.777777777777777
AZ,2020-03-12,4.622222222222222
AZ,2020-03-13,0
AZ,2020-03-14,0
