location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,0
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,0
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,0
AK,2020-03-17,0
AK,2020-03-18,88.42105263157895
AK,2020-03-19,88.42105263157895
AK,2020-03-20,88.42105263157895
AK,2020-03-21,0
AK,2020-03-22,0
AK,2020-03-23,80
AK,2020-03-24,84.21052631578947
AK,2020-03-25,0
AK,2020-03-26,168.42105263157893
AK,2020-03-27,0
AK,2020-03-28,0
AK,2020-03-29,0
AK,2020-03-30,77.89473684210526
AK,2020-03-31,0
AK,2020-04-01,0
AK,2020-04-02,0
AK,2020-04-03,77.89473684210526
AL,2020-02-01,0
AL,2020-02-02,0
AL,2020-02-03,10.526315789473685
AL,2020-02-04,0
AL,2020-02-05,0
AL,2020-02-06,0
AL,2020-02-07,0
AL,2020-02-08,0
AL,2020-02-09,0
AL,2020-02-10,0
AL,2020-02-11,0
AL,2020-02-12,10.526315789473685
AL,2020-02-13,0
AL,2020-02-14,0
AL,2020-02-15,0
AL,2020-02-16,0
AL,2020-02-17,0
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,0
AL,2020-02-21,0
AL,2020-02-22,0
AL,2020-02-23,0
AL,2020-02-24,0
AL,2020-02-25,0
AL,2020-02-26,0
AL,2020-02-27,0
AL,2020-02-28,0
AL,2020-02-29,18.42105263157895
AL,2020-03-01,0
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,0
AL,2020-03-05,13.157894736842106
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,0
AL,2020-03-09,0
AL,2020-03-10,0
AL,2020-03-11,0
AL,2020-03-12,13.157894736842106
AL,2020-03-13,13.157894736842106
AL,2020-03-14,18.42105263157895
AL,2020-03-15,0
AL,2020-03-16,0
AL,2020-03-17,60.526315789473685
AL,2020-03-18,0
AL,2020-03-19,28.947368421052634
AL,2020-03-20,128.94736842105263
AL,2020-03-21,65.78947368421053
AL,2020-03-22,31.578947368421055
AL,2020-03-23,94.73684210526316
AL,2020-03-24,57.89473684210527
AL,2020-03-25,57.89473684210527
AL,2020-03-26,131.57894736842107
AL,2020-03-27,113.15789473684211
AL,2020-03-28,263.15789473684214
AL,2020-03-29,110.5263157894737
AL,2020-03-30,142.10526315789474
AL,2020-03-31,176.31578947368422
AL,2020-04-01,84.21052631578948
AL,2020-04-02,128.94736842105263
AL,2020-04-03,142.10526315789474
AR,2020-02-01,0
AR,2020-02-02,0
AR,2020-02-03,0
AR,2020-02-04,0
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,0
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,0
AR,2020-02-14,0
AR,2020-02-15,0
AR,2020-02-16,0
AR,2020-02-17,0
AR,2020-02-18,0
AR,2020-02-19,0
AR,2020-02-20,0
AR,2020-02-21,0
AR,2020-02-22,0
AR,2020-02-23,0
AR,2020-02-24,21.31578947368421
AR,2020-02-25,0
AR,2020-02-26,0
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,0
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,0
AR,2020-03-09,0
AR,2020-03-10,0
AR,2020-03-11,0
AR,2020-03-12,0
AR,2020-03-13,21.31578947368421
AR,2020-03-14,26.052631578947366
AR,2020-03-15,0
AR,2020-03-16,21.31578947368421
AR,2020-03-17,0
AR,2020-03-18,21.31578947368421
AR,2020-03-19,108.94736842105263
AR,2020-03-20,168.15789473684208
AR,2020-03-21,52.10526315789473
AR,2020-03-22,75.78947368421052
AR,2020-03-23,130.26315789473682
AR,2020-03-24,139.73684210526315
AR,2020-03-25,118.42105263157893
AR,2020-03-26,146.8421052631579
AR,2020-03-27,161.05263157894734
AR,2020-03-28,125.52631578947367
AR,2020-03-29,26.052631578947366
AR,2020-03-30,187.1052631578947
AR,2020-03-31,85.26315789473684
AR,2020-04-01,153.94736842105263
AR,2020-04-02,213.15789473684208
AR,2020-04-03,63.94736842105263
AZ,2020-02-01,0
AZ,2020-02-02,0
AZ,2020-02-03,0
AZ,2020-02-04,0
AZ,2020-02-05,3.789473684210526
AZ,2020-02-06,0
AZ,2020-02-07,3.789473684210526
AZ,2020-02-08,0
AZ,2020-02-09,0
AZ,2020-02-10,0
AZ,2020-02-11,0
AZ,2020-02-12,3.789473684210526
AZ,2020-02-13,0
AZ,2020-02-14,0
AZ,2020-02-15,0
AZ,2020-02-16,0
AZ,2020-02-17,0
AZ,2020-02-18,3.789473684210526
AZ,2020-02-19,0
AZ,2020-02-20,0
AZ,2020-02-21,0
AZ,2020-02-22,0
AZ,2020-02-23,0
AZ,2020-02-24,0
AZ,2020-02-25,3.789473684210526
AZ,2020-02-26,0
AZ,2020-02-27,0
AZ,2020-02-28,0
AZ,2020-02-29,0
AZ,2020-03-01,0
AZ,2020-03-02,0
AZ,2020-03-03,3.789473684210526
AZ,2020-03-04,3.789473684210526
AZ,2020-03-05,0
AZ,2020-03-06,0
AZ,2020-03-07,0
AZ,2020-03-08,0
AZ,2020-03-09,0
AZ,2020-03-10,3.789473684210526
