location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,0
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,0
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,87.5
AK,2020-03-17,0
AK,2020-03-18,85
AK,2020-03-19,165
AK,2020-03-20,250
AK,2020-03-21,87.5
AK,2020-03-22,0
AK,2020-03-23,0
AK,2020-03-24,0
AK,2020-03-25,0
AK,2020-03-26,80
AK,2020-03-27,152.5
AK,2020-03-28,0
AK,2020-03-29,0
AK,2020-03-30,0
AK,2020-03-31,0
AK,2020-04-01,72.5
AK,2020-04-02,72.5
AK,2020-04-03,77.5
AK,2020-04-04,0
AL,2020-02-01,0
AL,2020-02-02,0
AL,2020-02-03,7.5
AL,2020-02-04,0
AL,2020-02-05,7.5
AL,2020-02-06,0
AL,2020-02-07,0
AL,2020-02-08,0
AL,2020-02-09,0
AL,2020-02-10,0
AL,2020-02-11,0
AL,2020-02-12,7.5
AL,2020-02-13,0
AL,2020-02-14,0
AL,2020-02-15,10
AL,2020-02-16,0
AL,2020-02-17,0
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,0
AL,2020-02-21,0
AL,2020-02-22,0
AL,2020-02-23,0
AL,2020-02-24,10
AL,2020-02-25,0
AL,2020-02-26,0
AL,2020-02-27,0
AL,2020-02-28,0
AL,2020-02-29,0
AL,2020-03-01,12.5
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,0
AL,2020-03-05,0
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,0
AL,2020-03-09,0
AL,2020-03-10,0
AL,2020-03-11,10
AL,2020-03-12,10
AL,2020-03-13,0
AL,2020-03-14,0
AL,2020-03-15,0
AL,2020-03-16,0
AL,2020-03-17,10
AL,2020-03-18,57.5
AL,2020-03-19,35
AL,2020-03-20,142.5
AL,2020-03-21,62.5
AL,2020-03-22,50
AL,2020-03-23,122.5
AL,2020-03-24,110
AL,2020-03-25,155
AL,2020-03-26,155
AL,2020-03-27,202.5
AL,2020-03-28,112.5
AL,2020-03-29,95
AL,2020-03-30,250
AL,2020-03-31,115
AL,2020-04-01,127.5
AL,2020-04-02,230
AL,2020-04-03,110
AL,2020-04-04,137.5
AR,2020-02-01,0
AR,2020-02-02,0
AR,2020-02-03,0
AR,2020-02-04,0
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,0
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,0
AR,2020-02-14,0
AR,2020-02-15,22.5
AR,2020-02-16,0
AR,2020-02-17,0
AR,2020-02-18,0
AR,2020-02-19,0
AR,2020-02-20,0
AR,2020-02-21,0
AR,2020-02-22,0
AR,2020-02-23,0
AR,2020-02-24,18
AR,2020-02-25,0
AR,2020-02-26,0
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,0
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,0
AR,2020-03-09,0
AR,2020-03-10,0
AR,2020-03-11,0
AR,2020-03-12,0
AR,2020-03-13,0
AR,2020-03-14,0
AR,2020-03-15,20.25
AR,2020-03-16,0
AR,2020-03-17,33.75
AR,2020-03-18,49.5
AR,2020-03-19,99
AR,2020-03-20,96.75
AR,2020-03-21,58.5
AR,2020-03-22,0
AR,2020-03-23,168.75
AR,2020-03-24,123.75
AR,2020-03-25,72
AR,2020-03-26,202.5
AR,2020-03-27,157.5
AR,2020-03-28,56.25
AR,2020-03-29,99
AR,2020-03-30,144
AR,2020-03-31,144
AR,2020-04-01,117
AR,2020-04-02,148.5
AR,2020-04-03,65.25
AR,2020-04-04,128.25
AZ,2020-02-01,0
AZ,2020-02-02,0
AZ,2020-02-03,0
AZ,2020-02-04,0
AZ,2020-02-05,3.6750000000000003
AZ,2020-02-06,0
AZ,2020-02-07,3.6750000000000003
AZ,2020-02-08,0
AZ,2020-02-09,0
AZ,2020-02-10,0
AZ,2020-02-11,0
AZ,2020-02-12,0
AZ,2020-02-13,0
AZ,2020-02-14,0
AZ,2020-02-15,0
AZ,2020-02-16,0
AZ,2020-02-17,0
AZ,2020-02-18,0
AZ,2020-02-19,3.6750000000000003
AZ,2020-02-20,0
AZ,2020-02-21,0
AZ,2020-02-22,0
AZ,2020-02-23,0
AZ,2020-02-24,0
AZ,2020-02-25,0
AZ,2020-02-26,0
AZ,2020-02-27,0
AZ,2020-02-28,3.6750000000000003
AZ,2020-02-29,0
AZ,2020-03-01,0
AZ,2020-03-02,0
AZ,2020-03-03,0
AZ,2020-03-04,3.6750000000000003
AZ,2020-03-05,3.6750000000000003
AZ,2020-03-06,0
AZ,2020-03-07,0
AZ,2020-03-08,0
AZ,2020-03-09,3.6750000000000003
AZ,2020-03-10,3.6750000000000003
AZ,2020-03-11,0
AZ,2020-03-12,6.125
AZ,2020-03-13,9.8
AZ,2020-03-14,3.6750000000000003
AZ,2020-03-15,0
AZ,2020-03-16,6.125
AZ,2020-03-17,9.8
AZ,2020-03-18,14.700000000000001
AZ,2020-03-19,12.25
AZ,2020-03-20,37.975
AZ,2020-03-21,28.175
AZ,2020-03-22,7.3500000000000005
AZ,2020-03-23,18.375
