location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,0
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,0
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,102.77777777777777
AK,2020-03-17,102.77777777777777
AK,2020-03-18,0
AK,2020-03-19,194.44444444444443
AK,2020-03-20,97.22222222222221
AK,2020-03-21,0
AK,2020-03-22,0
AK,2020-03-23,0
AK,2020-03-24,94.44444444444444
AK,2020-03-25,94.44444444444444
AK,2020-03-26,94.44444444444444
AK,2020-03-27,277.77777777777777
AK,2020-03-28,0
AK,2020-03-29,100
AK,2020-03-30,0
AK,2020-03-31,88.88888888888889
AK,2020-04-01,86.11111111111111
AK,2020-04-02,0
AK,2020-04-03,88.88888888888889
AK,2020-04-04,102.77777777777777
AK,2020-04-05,102.77777777777777
AK,2020-04-06,177.77777777777777
AK,2020-04-07,86.11111111111111
AK,2020-04-08,175
AK,2020-04-09,177.77777777777777
AK,2020-04-10,91.66666666666666
AK,2020-04-11,0
AL,2020-02-01,16.25
AL,2020-02-02,0
AL,2020-02-03,0
AL,2020-02-04,0
AL,2020-02-05,7.222222222222222
AL,2020-02-06,7.222222222222222
AL,2020-02-07,0
AL,2020-02-08,0
AL,2020-02-09,0
AL,2020-02-10,0
AL,2020-02-11,0
AL,2020-02-12,7.222222222222222
AL,2020-02-13,0
AL,2020-02-14,0
AL,2020-02-15,0
AL,2020-02-16,0
AL,2020-02-17,7.222222222222222
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,9.027777777777779
AL,2020-02-21,0
AL,2020-02-22,0
AL,2020-02-23,0
AL,2020-02-24,0
AL,2020-02-25,0
AL,2020-02-26,0
AL,2020-02-27,0
AL,2020-02-28,0
AL,2020-02-29,0
AL,2020-03-01,10.833333333333334
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,7.222222222222222
AL,2020-03-05,9.027777777777779
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,0
AL,2020-03-09,0
AL,2020-03-10,0
AL,2020-03-11,0
AL,2020-03-12,9.027777777777779
AL,2020-03-13,9.027777777777779
AL,2020-03-14,0
AL,2020-03-15,0
AL,2020-03-16,9.027777777777779
AL,2020-03-17,34.30555555555556
AL,2020-03-18,34.30555555555556
AL,2020-03-19,43.333333333333336
AL,2020-03-20,41.52777777777778
AL,2020-03-21,23.47222222222222
AL,2020-03-22,28.88888888888889
AL,2020-03-23,66.80555555555556
AL,2020-03-24,50.55555555555556
AL,2020-03-25,55.97222222222222
AL,2020-03-26,46.94444444444444
AL,2020-03-27,117.36111111111111
AL,2020-03-28,86.66666666666667
AL,2020-03-29,55.97222222222222
AL,2020-03-30,104.72222222222223
AL,2020-03-31,72.22222222222223
AL,2020-04-01,79.44444444444444
AL,2020-04-02,97.5
AL,2020-04-03,95.69444444444444
AL,2020-04-04,37.916666666666664
AL,2020-04-05,50.55555555555556
AL,2020-04-06,75.83333333333333
AL,2020-04-07,59.583333333333336
AL,2020-04-08,32.5
AL,2020-04-09,92.08333333333333
AL,2020-04-10,101.11111111111111
AL,2020-04-11,9.027777777777779
AR,2020-02-01,16.944444444444443
AR,2020-02-02,0
AR,2020-02-03,0
AR,2020-02-04,0
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,15.25
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,0
AR,2020-02-14,0
AR,2020-02-15,16.944444444444443
AR,2020-02-16,0
AR,2020-02-17,0
AR,2020-02-18,13.555555555555555
AR,2020-02-19,0
AR,2020-02-20,0
AR,2020-02-21,0
AR,2020-02-22,0
AR,2020-02-23,16.944444444444443
AR,2020-02-24,0
AR,2020-02-25,0
AR,2020-02-26,0
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,13.555555555555555
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,0
AR,2020-03-09,0
AR,2020-03-10,0
AR,2020-03-11,0
AR,2020-03-12,0
AR,2020-03-13,13.555555555555555
AR,2020-03-14,16.944444444444443
AR,2020-03-15,15.25
AR,2020-03-16,0
AR,2020-03-17,27.11111111111111
AR,2020-03-18,13.555555555555555
AR,2020-03-19,72.86111111111111
AR,2020-03-20,52.52777777777778
AR,2020-03-21,23.72222222222222
AR,2020-03-22,30.5
AR,2020-03-23,54.22222222222222
AR,2020-03-24,77.94444444444444
AR,2020-03-25,50.833333333333336
AR,2020-03-26,37.27777777777778
AR,2020-03-27,91.5
AR,2020-03-28,45.75
AR,2020-03-29,55.916666666666664
AR,2020-03-30,103.36111111111111
AR,2020-03-31,98.27777777777777
AR,2020-04-01,66.08333333333333
AR,2020-04-02,72.86111111111111
AR,2020-04-03,32.19444444444444
AR,2020-04-04,44.05555555555556
AR,2020-04-05,38.97222222222222
AR,2020-04-06,71.16666666666667
AR,2020-04-07,52.52777777777778
AR,2020-04-08,91.5
AR,2020-04-09,52.52777777777778
AR,2020-04-10,55.916666666666664
AR,2020-04-11,15.25
AZ,2020-02-01,0
AZ,2020-02-02,0
AZ,2020-02-03,0
AZ,2020-02-04,0
AZ,2020-02-05,3.583333333333333
